LOCATION,YEAR,IMPORTS,EXPORTS,(exports - imports)
AUT,2018,182997,173722,-9275
BEL,2018,313485,302117,-11368
CZE,2018,130658,134972,4314
DNK,2018,94405.8,102968,8562.2
FIN,2018,77532.7,74291.1,-3241.6
FRA,2018,573052,489070,-83982
DEU,2018,1076120,1355850,279730
GRC,2018,59673.6,37675.9,-21997.7
HUN,2018,99959.9,91947.4,-8012.5
IRL,2018,105304,159622,54318
ITA,2018,428008,519518,91510
LUX,2018,20390.7,12652.8,-7737.9
NLD,2018,447114,460008,12894
NOR,2018,,,0
POL,2018,223552,201888,-21664
PRT,2018,81590.3,62558.7,-19031.6
SVK,2018,83285.9,79497.8,-3788.1
ESP,2018,355986,315228,-40758
SWE,2018,159387,160875,1488
TUR,2018,184455,142690,-41765
GBR,2018,598011,382108,-215903
USA,2018,2174090,1477980,-696110
BGR,2018,36315.7,31691.3,-4624.4
HRV,2018,27135,16493.4,-10641.6
CYP,2018,10285.4,4708.06,-5577.34
LVA,2018,18097.6,14165,-3932.6
LTU,2018,30639.4,25851.1,-4788.3
MLT,2018,5091.75,2855.7,-2236.05
ROU,2018,89204.7,68976.7,-20228
SVN,2018,33386.2,32541.1,-845.1
ISL,2018,7264.93,5557.82,-1707.11
CHE,2018,272640,306906,34266
BIH,2018,11466.9,7181.25,-4285.65
SRB,2018,20038.4,15640.9,-4397.5
